item_id,declaration_id,year,customs_office_code,customs_office_name,regime,registration_serial,registration_number,reference_number,registration_date,hs_code,commercial_description,country_of_origin,country_of_origin_code,country_of_export,country_of_export_code,country_of_destination,country_of_destination_code,uom,qty_by_uom,actual_unit_price,price_basis,local_amount,sup_amount,invoice_amount,net_weight,gross_weight,status,specification_code,warehouse_code,exit_office_code,exit_officer_id,operation_name,operation_date,encrypted_declarant_cr,encrypted_consignee_cr,encrypted_exporter_cr,declaration_date,year_month,hs_clean,hs2,hs6,is_reexport,trade_type,local_amount_clean,invoice_amount_clean,sup_amount_clean,net_weight_clean,gross_weight_clean,partner_country_code,active_cr,hs_desc,isic4_codes,isic4_descs,isic4_sectors,llm_prompt,gpt4o_mismatch,gpt4o_risk,gpt4o_reason,deepseek_mismatch,deepseek_risk,deepseek_reason
2019-2601-9-10021-1,2019-2601-9-10021,2019,2601,Dry Port - Hidd,IM,9,10021,98160,1/3/2019,8703221000,Passenger cars 1000-1500cc,JP,JP,JP,JP,BH,BH,NMB,178.0,21669.17,CIF,1450274.21,4.01,3857112.26,1215.17,1440.46,Held,6,6,2601,654,,,CR_HASH_026,CR_HASH_012,,2019-01-03,2019-01,870322100000,87,870322,False,Import,1450274.21,3857112.26,4.01,1215.17,1440.46,JP,CR_HASH_012,Passenger cars 1000-1500cc,,,,"You are a customs trade compliance expert.

A company is registered for the following business activities:
- Registered activities: nan
- Registered sector(s): nan

The company has submitted a trade declaration for the following goods:
- Goods description: Passenger cars 1000-1500cc

Does the traded goods description logically match the company's registered business activities?

Respond in JSON only with exactly these three fields:
{
  ""mismatch"": true or false,
  ""risk_level"": ""normal"" or ""low"" or ""medium"" or ""high"",
  ""reason"": ""one sentence explanation""
}

Rules:
- If the goods clearly fit the registered activities: mismatch false, risk_level normal
- If the goods are loosely related to the registered activities: mismatch false, risk_level normal
- If the goods are debatable to the registered activities: mismatch true, risk_level low
- If the goods are clearly unrelated to the registered activities: mismatch true, risk_level medium
- If the goods are completely unrelated AND suspicious (e.g. weapons, chemicals, controlled goods): mismatch true, risk_level high
- Do not output anything outside the JSON block.",True,medium,"The company's registered activities and sectors are not specified, making it unclear if passenger cars are related.",,error,"Error code: 401 - {'error': {'message': 'Authentication Fails, Your api key: ****9fbE is invalid', 'type': 'authentication_error', 'param': None, 'code': 'invalid_request_error'}}"
2019-2501-1-10014-1,2019-2501-1-10014,2019,2501,Bahrain International Airport,IM,1,10014,97463,1/12/2019,9018390000,Medical syringes and needles,JP,JP,JP,JP,BH,BH,NMB,178.0,0.13,FOB,8.7,1.15,23.14,503.28,587.13,Released,9,1,2501,256,,,CR_HASH_039,CR_HASH_016,,2019-01-12,2019-01,901839000000,90,901839,False,Import,8.7,23.14,1.15,503.28,587.13,JP,CR_HASH_016,Medical syringes and needles,,,,"You are a customs trade compliance expert.

A company is registered for the following business activities:
- Registered activities: nan
- Registered sector(s): nan

The company has submitted a trade declaration for the following goods:
- Goods description: Medical syringes and needles

Does the traded goods description logically match the company's registered business activities?

Respond in JSON only with exactly these three fields:
{
  ""mismatch"": true or false,
  ""risk_level"": ""normal"" or ""low"" or ""medium"" or ""high"",
  ""reason"": ""one sentence explanation""
}

Rules:
- If the goods clearly fit the registered activities: mismatch false, risk_level normal
- If the goods are loosely related to the registered activities: mismatch false, risk_level normal
- If the goods are debatable to the registered activities: mismatch true, risk_level low
- If the goods are clearly unrelated to the registered activities: mismatch true, risk_level medium
- If the goods are completely unrelated AND suspicious (e.g. weapons, chemicals, controlled goods): mismatch true, risk_level high
- Do not output anything outside the JSON block.",True,medium,"The company's registered activities and sectors are not specified, making it unclear if medical syringes and needles are related.",,error,"Error code: 401 - {'error': {'message': 'Authentication Fails, Your api key: ****9fbE is invalid', 'type': 'authentication_error', 'param': None, 'code': 'invalid_request_error'}}"
2019-2501-5-10009-1,2019-2501-5-10009,2019,2501,Bahrain International Airport,IM,5,10009,65120,1/16/2019,8517120000,Cellular telephones,AE,AE,AE,AE,BH,BH,NMB,66.0,258.98,FOB,6426.85,0.6,17092.68,490.93,558.27,Released,9,4,2501,533,,,CR_HASH_112,CR_HASH_017,,2019-01-16,2019-01,851712000000,85,851712,False,Import,6426.85,17092.68,0.6,490.93,558.27,AE,CR_HASH_017,Cellular telephones,,,,"You are a customs trade compliance expert.

A company is registered for the following business activities:
- Registered activities: nan
- Registered sector(s): nan

The company has submitted a trade declaration for the following goods:
- Goods description: Cellular telephones

Does the traded goods description logically match the company's registered business activities?

Respond in JSON only with exactly these three fields:
{
  ""mismatch"": true or false,
  ""risk_level"": ""normal"" or ""low"" or ""medium"" or ""high"",
  ""reason"": ""one sentence explanation""
}

Rules:
- If the goods clearly fit the registered activities: mismatch false, risk_level normal
- If the goods are loosely related to the registered activities: mismatch false, risk_level normal
- If the goods are debatable to the registered activities: mismatch true, risk_level low
- If the goods are clearly unrelated to the registered activities: mismatch true, risk_level medium
- If the goods are completely unrelated AND suspicious (e.g. weapons, chemicals, controlled goods): mismatch true, risk_level high
- Do not output anything outside the JSON block.",True,medium,"The company's registered activities and sectors are not specified, making it unclear if cellular telephones are related.",,error,"Error code: 401 - {'error': {'message': 'Authentication Fails, Your api key: ****9fbE is invalid', 'type': 'authentication_error', 'param': None, 'code': 'invalid_request_error'}}"
2019-2801-8-10001-1,2019-2801-8-10001,2019,2801,King Fahd Causeway,IM,8,10001,13942,1/24/2019,102211000,"Live cattle, pure-bred breeding",DE,DE,IN,IN,BH,BH,NMB,126.0,2088.75,FOB,98956.62,3.57,263182.5,246.93,276.56,Released,9,7,2801,429,,,CR_HASH_194,CR_HASH_025,,2019-01-24,2019-01,102211000000,10,102211,True,Re-export,98956.62,263182.5,3.57,246.93,276.56,DE,CR_HASH_025,"Live cattle, pure-bred breeding",,,,"You are a customs trade compliance expert.

A company is registered for the following business activities:
- Registered activities: nan
- Registered sector(s): nan

The company has submitted a trade declaration for the following goods:
- Goods description: Live cattle, pure-bred breeding

Does the traded goods description logically match the company's registered business activities?

Respond in JSON only with exactly these three fields:
{
  ""mismatch"": true or false,
  ""risk_level"": ""normal"" or ""low"" or ""medium"" or ""high"",
  ""reason"": ""one sentence explanation""
}

Rules:
- If the goods clearly fit the registered activities: mismatch false, risk_level normal
- If the goods are loosely related to the registered activities: mismatch false, risk_level normal
- If the goods are debatable to the registered activities: mismatch true, risk_level low
- If the goods are clearly unrelated to the registered activities: mismatch true, risk_level medium
- If the goods are completely unrelated AND suspicious (e.g. weapons, chemicals, controlled goods): mismatch true, risk_level high
- Do not output anything outside the JSON block.",True,medium,"The company's registered activities and sector are not specified, making it unclear if live cattle trading is related.",,error,"Error code: 401 - {'error': {'message': 'Authentication Fails, Your api key: ****9fbE is invalid', 'type': 'authentication_error', 'param': None, 'code': 'invalid_request_error'}}"
2019-2601-9-10016-1,2019-2601-9-10016,2019,2601,Dry Port - Hidd,,9,10016,67057,1/30/2019,2710192100,Gas oils for diesel engines,CN,CN,BH,BH,DE,DE,LTR,10027.39,0.9,EXW,3393.27,1.13,9024.65,7570.4,8579.38,Released,7,4,2601,105,,,CR_HASH_231,CR_HASH_008,,2019-01-30,2019-01,271019210000,27,271019,True,Re-export,3393.27,9024.65,1.13,7570.4,8579.38,,CR_HASH_008,Gas oils for diesel engines,,,,"You are a customs trade compliance expert.

A company is registered for the following business activities:
- Registered activities: nan
- Registered sector(s): nan

The company has submitted a trade declaration for the following goods:
- Goods description: Gas oils for diesel engines

Does the traded goods description logically match the company's registered business activities?

Respond in JSON only with exactly these three fields:
{
  ""mismatch"": true or false,
  ""risk_level"": ""normal"" or ""low"" or ""medium"" or ""high"",
  ""reason"": ""one sentence explanation""
}

Rules:
- If the goods clearly fit the registered activities: mismatch false, risk_level normal
- If the goods are loosely related to the registered activities: mismatch false, risk_level normal
- If the goods are debatable to the registered activities: mismatch true, risk_level low
- If the goods are clearly unrelated to the registered activities: mismatch true, risk_level medium
- If the goods are completely unrelated AND suspicious (e.g. weapons, chemicals, controlled goods): mismatch true, risk_level high
- Do not output anything outside the JSON block.",True,medium,"The company's registered activities and sectors are not specified, making it unclear if gas oils for diesel engines are related.",,error,"Error code: 401 - {'error': {'message': 'Authentication Fails, Your api key: ****9fbE is invalid', 'type': 'authentication_error', 'param': None, 'code': 'invalid_request_error'}}"
2019-2701-9-10025-1,2019-2701-9-10025,2019,2701,Khalifa Bin Salman Port,EX,9,10025,18109,1/31/2019,8504400090,Static converters,BH,BH,BH,BH,AE,AE,NMB,28.0,240.95,CIF,2536.72,3.16,6746.6,178.35,208.54,Released,1,5,2701,653,,,CR_HASH_232,,CR_HASH_047,2019-01-31,2019-01,850440009000,85,850440,False,Export,2536.72,6746.6,3.16,178.35,208.54,AE,CR_HASH_047,Static converters,,,,"You are a customs trade compliance expert.

A company is registered for the following business activities:
- Registered activities: nan
- Registered sector(s): nan

The company has submitted a trade declaration for the following goods:
- Goods description: Static converters

Does the traded goods description logically match the company's registered business activities?

Respond in JSON only with exactly these three fields:
{
  ""mismatch"": true or false,
  ""risk_level"": ""normal"" or ""low"" or ""medium"" or ""high"",
  ""reason"": ""one sentence explanation""
}

Rules:
- If the goods clearly fit the registered activities: mismatch false, risk_level normal
- If the goods are loosely related to the registered activities: mismatch false, risk_level normal
- If the goods are debatable to the registered activities: mismatch true, risk_level low
- If the goods are clearly unrelated to the registered activities: mismatch true, risk_level medium
- If the goods are completely unrelated AND suspicious (e.g. weapons, chemicals, controlled goods): mismatch true, risk_level high
- Do not output anything outside the JSON block.",True,medium,"The company's registered activities and sectors are not specified, making it unclear if static converters are related.",,error,"Error code: 401 - {'error': {'message': 'Authentication Fails, Your api key: ****9fbE is invalid', 'type': 'authentication_error', 'param': None, 'code': 'invalid_request_error'}}"
2019-2501-7-10006-1,2019-2501-7-10006,2019,2501,Bahrain International Airport,IM,7,10006,37135,2/8/2019,8504400090,Static converters,CN,CN,CN,CN,BH,BH,NMB,139.0,65.48,EXW,3422.25,2.13,9101.72,534.62,591.91,Released,9,1,2501,407,,,CR_HASH_116,CR_HASH_012,,2019-02-08,2019-02,850440009000,85,850440,False,Import,3422.25,9101.72,2.13,534.62,591.91,CN,CR_HASH_012,Static converters,,,,"You are a customs trade compliance expert.

A company is registered for the following business activities:
- Registered activities: nan
- Registered sector(s): nan

The company has submitted a trade declaration for the following goods:
- Goods description: Static converters

Does the traded goods description logically match the company's registered business activities?

Respond in JSON only with exactly these three fields:
{
  ""mismatch"": true or false,
  ""risk_level"": ""normal"" or ""low"" or ""medium"" or ""high"",
  ""reason"": ""one sentence explanation""
}

Rules:
- If the goods clearly fit the registered activities: mismatch false, risk_level normal
- If the goods are loosely related to the registered activities: mismatch false, risk_level normal
- If the goods are debatable to the registered activities: mismatch true, risk_level low
- If the goods are clearly unrelated to the registered activities: mismatch true, risk_level medium
- If the goods are completely unrelated AND suspicious (e.g. weapons, chemicals, controlled goods): mismatch true, risk_level high
- Do not output anything outside the JSON block.",True,medium,"The company's registered activities and sectors are not specified, making it unclear if static converters are related.",,error,"Error code: 401 - {'error': {'message': 'Authentication Fails, Your api key: ****9fbE is invalid', 'type': 'authentication_error', 'param': None, 'code': 'invalid_request_error'}}"
2019-2601-9-10007-1,2019-2601-9-10007,2019,2601,Dry Port - Hidd,,9,10007,17132,2/13/2019,2710192100,Gas oils for diesel engines,IN,IN,BH,BH,DE,DE,LTR,14144.29,0.54,CIF,2871.86,4.56,7637.92,12636.2,14119.74,Released,5,7,2601,281,,,CR_HASH_184,CR_HASH_014,,2019-02-13,2019-02,271019210000,27,271019,True,Re-export,2871.86,7637.92,4.56,12636.2,14119.74,,CR_HASH_014,Gas oils for diesel engines,,,,"You are a customs trade compliance expert.

A company is registered for the following business activities:
- Registered activities: nan
- Registered sector(s): nan

The company has submitted a trade declaration for the following goods:
- Goods description: Gas oils for diesel engines

Does the traded goods description logically match the company's registered business activities?

Respond in JSON only with exactly these three fields:
{
  ""mismatch"": true or false,
  ""risk_level"": ""normal"" or ""low"" or ""medium"" or ""high"",
  ""reason"": ""one sentence explanation""
}

Rules:
- If the goods clearly fit the registered activities: mismatch false, risk_level normal
- If the goods are loosely related to the registered activities: mismatch false, risk_level normal
- If the goods are debatable to the registered activities: mismatch true, risk_level low
- If the goods are clearly unrelated to the registered activities: mismatch true, risk_level medium
- If the goods are completely unrelated AND suspicious (e.g. weapons, chemicals, controlled goods): mismatch true, risk_level high
- Do not output anything outside the JSON block.",True,medium,"The company's registered activities and sectors are not specified, making it unclear if gas oils for diesel engines are related.",,error,"Error code: 401 - {'error': {'message': 'Authentication Fails, Your api key: ****9fbE is invalid', 'type': 'authentication_error', 'param': None, 'code': 'invalid_request_error'}}"
2019-2701-5-10012-1,2019-2701-5-10012,2019,2701,Khalifa Bin Salman Port,IM,5,10012,26262,2/21/2019,2710192100,Gas oils for diesel engines,DE,DE,DE,DE,BH,BH,LTR,16680.9,1.03,CIF,6460.18,0.7,17181.33,14229.0,15486.77,Released,4,9,2701,992,,,CR_HASH_247,CR_HASH_046,,2019-02-21,2019-02,271019210000,27,271019,False,Import,6460.18,17181.33,0.7,14229.0,15486.77,DE,CR_HASH_046,Gas oils for diesel engines,,,,"You are a customs trade compliance expert.

A company is registered for the following business activities:
- Registered activities: nan
- Registered sector(s): nan

The company has submitted a trade declaration for the following goods:
- Goods description: Gas oils for diesel engines

Does the traded goods description logically match the company's registered business activities?

Respond in JSON only with exactly these three fields:
{
  ""mismatch"": true or false,
  ""risk_level"": ""normal"" or ""low"" or ""medium"" or ""high"",
  ""reason"": ""one sentence explanation""
}

Rules:
- If the goods clearly fit the registered activities: mismatch false, risk_level normal
- If the goods are loosely related to the registered activities: mismatch false, risk_level normal
- If the goods are debatable to the registered activities: mismatch true, risk_level low
- If the goods are clearly unrelated to the registered activities: mismatch true, risk_level medium
- If the goods are completely unrelated AND suspicious (e.g. weapons, chemicals, controlled goods): mismatch true, risk_level high
- Do not output anything outside the JSON block.",True,medium,"The company's registered activities and sectors are not specified, making it unclear if gas oils for diesel engines are related.",,error,"Error code: 401 - {'error': {'message': 'Authentication Fails, Your api key: ****9fbE is invalid', 'type': 'authentication_error', 'param': None, 'code': 'invalid_request_error'}}"
2019-2801-1-10013-1,2019-2801-1-10013,2019,2801,King Fahd Causeway,IM,1,10013,76294,2/25/2019,8504400090,Static converters,US,US,DE,DE,BH,BH,NMB,169.0,226.56,EXW,14396.53,1.68,38288.64,923.16,1021.06,Released,9,9,2801,316,,,CR_HASH_221,CR_HASH_005,,2019-02-25,2019-02,850440009000,85,850440,True,Re-export,14396.53,38288.64,1.68,923.16,1021.06,US,CR_HASH_005,Static converters,,,,"You are a customs trade compliance expert.

A company is registered for the following business activities:
- Registered activities: nan
- Registered sector(s): nan

The company has submitted a trade declaration for the following goods:
- Goods description: Static converters

Does the traded goods description logically match the company's registered business activities?

Respond in JSON only with exactly these three fields:
{
  ""mismatch"": true or false,
  ""risk_level"": ""normal"" or ""low"" or ""medium"" or ""high"",
  ""reason"": ""one sentence explanation""
}

Rules:
- If the goods clearly fit the registered activities: mismatch false, risk_level normal
- If the goods are loosely related to the registered activities: mismatch false, risk_level normal
- If the goods are debatable to the registered activities: mismatch true, risk_level low
- If the goods are clearly unrelated to the registered activities: mismatch true, risk_level medium
- If the goods are completely unrelated AND suspicious (e.g. weapons, chemicals, controlled goods): mismatch true, risk_level high
- Do not output anything outside the JSON block.",True,medium,"The company's registered activities and sectors are not specified, making it unclear if static converters are related.",,error,"Error code: 401 - {'error': {'message': 'Authentication Fails, Your api key: ****9fbE is invalid', 'type': 'authentication_error', 'param': None, 'code': 'invalid_request_error'}}"
