item_id,declaration_id,year,customs_office_code,customs_office_name,regime,registration_serial,registration_number,reference_number,registration_date,hs_code,commercial_description,country_of_origin,country_of_origin_code,country_of_export,country_of_export_code,country_of_destination,country_of_destination_code,uom,qty_by_uom,actual_unit_price,price_basis,local_amount,sup_amount,invoice_amount,net_weight,gross_weight,status,specification_code,warehouse_code,exit_office_code,exit_officer_id,operation_name,operation_date,encrypted_declarant_cr,encrypted_consignee_cr,encrypted_exporter_cr,declaration_date,year_month,hs_clean,hs2,hs6,is_reexport,trade_type,local_amount_clean,invoice_amount_clean,sup_amount_clean,net_weight_clean,gross_weight_clean,partner_country_code,active_cr,hs_desc,isic4_codes,isic4_descs,isic4_sectors,llm_prompt,gpt4o_mismatch,gpt4o_risk,gpt4o_reason,deepseek_mismatch,deepseek_risk,deepseek_reason
2020-2601-8-10000-1,2020-2601-8-10000,2020,2601,Dry Port - Hidd,IM,8,10000,94487,1/8/2020,8471300000,Portable laptop computers,CN,CN,CN,CN,BH,BH,NMB,179.0,241.16,EXW,16231.03,0.98,43167.64,467.06,536.61,Released,9,9,2601,306,,,CR_HASH_182,CR_HASH_036,,2020-01-08,2020-01,847130000000,84,847130,False,Import,16231.03,43167.64,0.98,467.06,536.61,CN,CR_HASH_036,Portable laptop computers,,,,"You are a customs trade compliance expert.

A company is registered for the following business activities:
- Registered activities: nan
- Registered sector(s): nan

The company has submitted a trade declaration for the following goods:
- Goods description: Portable laptop computers

Does the traded goods description logically match the company's registered business activities?

Respond in JSON only with exactly these three fields:
{
  ""mismatch"": true or false,
  ""risk_level"": ""normal"" or ""low"" or ""medium"" or ""high"",
  ""reason"": ""one sentence explanation""
}

Rules:
- If the goods clearly fit the registered activities: mismatch false, risk_level normal
- If the goods are loosely related to the registered activities: mismatch false, risk_level normal
- If the goods are debatable to the registered activities: mismatch true, risk_level low
- If the goods are clearly unrelated to the registered activities: mismatch true, risk_level medium
- If the goods are completely unrelated AND suspicious (e.g. weapons, chemicals, controlled goods): mismatch true, risk_level high
- Do not output anything outside the JSON block.",True,medium,"The company's registered activities and sectors are not specified, making it unclear if portable laptop computers are related.",,error,"Error code: 401 - {'error': {'message': 'Authentication Fails, Your api key: ****9fbE is invalid', 'type': 'authentication_error', 'param': None, 'code': 'invalid_request_error'}}"
2020-2501-2-10001-1,2020-2501-2-10001,2020,2501,Bahrain International Airport,EX,2,10001,56354,3/27/2020,8703221000,Passenger cars 1000-1500cc,BH,BH,BH,BH,US,US,NMB,109.0,21595.79,EXW,885081.86,4.71,2353941.11,833.5,911.55,Released,2,2,2501,579,,,CR_HASH_093,,CR_HASH_031,2020-03-27,2020-03,870322100000,87,870322,True,Re-export,885081.86,2353941.11,4.71,833.5,911.55,US,CR_HASH_031,Passenger cars 1000-1500cc,,,,"You are a customs trade compliance expert.

A company is registered for the following business activities:
- Registered activities: nan
- Registered sector(s): nan

The company has submitted a trade declaration for the following goods:
- Goods description: Passenger cars 1000-1500cc

Does the traded goods description logically match the company's registered business activities?

Respond in JSON only with exactly these three fields:
{
  ""mismatch"": true or false,
  ""risk_level"": ""normal"" or ""low"" or ""medium"" or ""high"",
  ""reason"": ""one sentence explanation""
}

Rules:
- If the goods clearly fit the registered activities: mismatch false, risk_level normal
- If the goods are loosely related to the registered activities: mismatch false, risk_level normal
- If the goods are debatable to the registered activities: mismatch true, risk_level low
- If the goods are clearly unrelated to the registered activities: mismatch true, risk_level medium
- If the goods are completely unrelated AND suspicious (e.g. weapons, chemicals, controlled goods): mismatch true, risk_level high
- Do not output anything outside the JSON block.",True,medium,"The company's registered activities and sectors are not specified, making it unclear if passenger cars are related.",,error,"Error code: 401 - {'error': {'message': 'Authentication Fails, Your api key: ****9fbE is invalid', 'type': 'authentication_error', 'param': None, 'code': 'invalid_request_error'}}"
2020-2601-4-10002-1,2020-2601-4-10002,2020,2601,Dry Port - Hidd,EX,4,10002,11990,1/17/2020,3923301000,Plastic bottles for packaging,BH,BH,BH,BH,JP,JP,NMB,198.0,0.72,EXW,53.6,3.48,142.56,1425.77,1608.02,Released,4,8,2601,184,,,CR_HASH_117,,CR_HASH_016,2020-01-17,2020-01,392330100000,39,392330,True,Re-export,53.6,142.56,3.48,1425.77,1608.02,JP,CR_HASH_016,Plastic bottles for packaging,,,,"You are a customs trade compliance expert.

A company is registered for the following business activities:
- Registered activities: nan
- Registered sector(s): nan

The company has submitted a trade declaration for the following goods:
- Goods description: Plastic bottles for packaging

Does the traded goods description logically match the company's registered business activities?

Respond in JSON only with exactly these three fields:
{
  ""mismatch"": true or false,
  ""risk_level"": ""normal"" or ""low"" or ""medium"" or ""high"",
  ""reason"": ""one sentence explanation""
}

Rules:
- If the goods clearly fit the registered activities: mismatch false, risk_level normal
- If the goods are loosely related to the registered activities: mismatch false, risk_level normal
- If the goods are debatable to the registered activities: mismatch true, risk_level low
- If the goods are clearly unrelated to the registered activities: mismatch true, risk_level medium
- If the goods are completely unrelated AND suspicious (e.g. weapons, chemicals, controlled goods): mismatch true, risk_level high
- Do not output anything outside the JSON block.",True,medium,"The company's registered activities and sectors are not specified, making it unclear if plastic bottles for packaging are related.",,error,"Error code: 401 - {'error': {'message': 'Authentication Fails, Your api key: ****9fbE is invalid', 'type': 'authentication_error', 'param': None, 'code': 'invalid_request_error'}}"
2020-2701-4-10003-1,2020-2701-4-10003,2020,2701,Khalifa Bin Salman Port,IM,4,10003,88709,9/26/2020,102211000,"Live cattle, pure-bred breeding",IN,IN,IN,IN,BH,BH,NMB,2.0,1209.65,CIF,909.66,1.9,2419.3,3.69,4.21,Released,9,7,2701,388,,,CR_HASH_234,CR_HASH_036,,2020-09-26,2020-09,102211000000,10,102211,False,Import,909.66,2419.3,1.9,3.69,4.21,IN,CR_HASH_036,"Live cattle, pure-bred breeding",,,,"You are a customs trade compliance expert.

A company is registered for the following business activities:
- Registered activities: nan
- Registered sector(s): nan

The company has submitted a trade declaration for the following goods:
- Goods description: Live cattle, pure-bred breeding

Does the traded goods description logically match the company's registered business activities?

Respond in JSON only with exactly these three fields:
{
  ""mismatch"": true or false,
  ""risk_level"": ""normal"" or ""low"" or ""medium"" or ""high"",
  ""reason"": ""one sentence explanation""
}

Rules:
- If the goods clearly fit the registered activities: mismatch false, risk_level normal
- If the goods are loosely related to the registered activities: mismatch false, risk_level normal
- If the goods are debatable to the registered activities: mismatch true, risk_level low
- If the goods are clearly unrelated to the registered activities: mismatch true, risk_level medium
- If the goods are completely unrelated AND suspicious (e.g. weapons, chemicals, controlled goods): mismatch true, risk_level high
- Do not output anything outside the JSON block.",True,medium,"The company's registered activities and sector are not specified, making it unclear if live cattle, pure-bred breeding is related.",,error,"Error code: 401 - {'error': {'message': 'Authentication Fails, Your api key: ****9fbE is invalid', 'type': 'authentication_error', 'param': None, 'code': 'invalid_request_error'}}"
2020-2601-5-10004-1,2020-2601-5-10004,2020,2601,Dry Port - Hidd,IM,5,10004,72482,12/21/2020,1006301000,Long-grain milled rice,SA,SA,SA,SA,BH,BH,KGM,168.29,0.65,EXW,41.13,1.4,109.39,168.29,189.49,Released,8,8,2601,122,,,CR_HASH_036,CR_HASH_046,,2020-12-21,2020-12,100630100000,10,100630,False,Import,41.13,109.39,1.4,168.29,189.49,SA,CR_HASH_046,Long-grain milled rice,,,,"You are a customs trade compliance expert.

A company is registered for the following business activities:
- Registered activities: nan
- Registered sector(s): nan

The company has submitted a trade declaration for the following goods:
- Goods description: Long-grain milled rice

Does the traded goods description logically match the company's registered business activities?

Respond in JSON only with exactly these three fields:
{
  ""mismatch"": true or false,
  ""risk_level"": ""normal"" or ""low"" or ""medium"" or ""high"",
  ""reason"": ""one sentence explanation""
}

Rules:
- If the goods clearly fit the registered activities: mismatch false, risk_level normal
- If the goods are loosely related to the registered activities: mismatch false, risk_level normal
- If the goods are debatable to the registered activities: mismatch true, risk_level low
- If the goods are clearly unrelated to the registered activities: mismatch true, risk_level medium
- If the goods are completely unrelated AND suspicious (e.g. weapons, chemicals, controlled goods): mismatch true, risk_level high
- Do not output anything outside the JSON block.",True,medium,"The company's registered activities and sectors are not specified, making it unclear if rice trading is related.",,error,"Error code: 401 - {'error': {'message': 'Authentication Fails, Your api key: ****9fbE is invalid', 'type': 'authentication_error', 'param': None, 'code': 'invalid_request_error'}}"
2020-2501-7-10005-1,2020-2501-7-10005,2020,2501,Bahrain International Airport,EX,7,10005,38236,9/18/2020,9018390000,Medical syringes and needles,BH,BH,BH,BH,US,US,NMB,27.0,0.11,EXW,1.12,1.79,2.97,74.44,83.62,Pending,9,5,2501,122,,,CR_HASH_127,,CR_HASH_033,2020-09-18,2020-09,901839000000,90,901839,True,Re-export,1.12,2.97,1.79,74.44,83.62,US,CR_HASH_033,Medical syringes and needles,,,,"You are a customs trade compliance expert.

A company is registered for the following business activities:
- Registered activities: nan
- Registered sector(s): nan

The company has submitted a trade declaration for the following goods:
- Goods description: Medical syringes and needles

Does the traded goods description logically match the company's registered business activities?

Respond in JSON only with exactly these three fields:
{
  ""mismatch"": true or false,
  ""risk_level"": ""normal"" or ""low"" or ""medium"" or ""high"",
  ""reason"": ""one sentence explanation""
}

Rules:
- If the goods clearly fit the registered activities: mismatch false, risk_level normal
- If the goods are loosely related to the registered activities: mismatch false, risk_level normal
- If the goods are debatable to the registered activities: mismatch true, risk_level low
- If the goods are clearly unrelated to the registered activities: mismatch true, risk_level medium
- If the goods are completely unrelated AND suspicious (e.g. weapons, chemicals, controlled goods): mismatch true, risk_level high
- Do not output anything outside the JSON block.",True,medium,"The company's registered activities and sector are not specified, making it unclear if medical syringes and needles are related.",,error,"Error code: 401 - {'error': {'message': 'Authentication Fails, Your api key: ****9fbE is invalid', 'type': 'authentication_error', 'param': None, 'code': 'invalid_request_error'}}"
2020-2701-2-10006-1,2020-2701-2-10006,2020,2701,Khalifa Bin Salman Port,IM,2,10006,52063,8/6/2020,6109100000,Cotton t-shirts,DE,DE,DE,DE,BH,BH,NMB,168.0,3.82,FOB,241.3,0.58,641.76,1259.61,1474.57,Released,6,1,2701,358,,,CR_HASH_027,CR_HASH_022,,2020-08-06,2020-08,610910000000,61,610910,False,Import,241.3,641.76,0.58,1259.61,1474.57,DE,CR_HASH_022,Cotton t-shirts,,,,"You are a customs trade compliance expert.

A company is registered for the following business activities:
- Registered activities: nan
- Registered sector(s): nan

The company has submitted a trade declaration for the following goods:
- Goods description: Cotton t-shirts

Does the traded goods description logically match the company's registered business activities?

Respond in JSON only with exactly these three fields:
{
  ""mismatch"": true or false,
  ""risk_level"": ""normal"" or ""low"" or ""medium"" or ""high"",
  ""reason"": ""one sentence explanation""
}

Rules:
- If the goods clearly fit the registered activities: mismatch false, risk_level normal
- If the goods are loosely related to the registered activities: mismatch false, risk_level normal
- If the goods are debatable to the registered activities: mismatch true, risk_level low
- If the goods are clearly unrelated to the registered activities: mismatch true, risk_level medium
- If the goods are completely unrelated AND suspicious (e.g. weapons, chemicals, controlled goods): mismatch true, risk_level high
- Do not output anything outside the JSON block.",True,medium,"The company's registered activities and sector are not specified, making it unclear if cotton t-shirts are related.",,error,"Error code: 401 - {'error': {'message': 'Authentication Fails, Your api key: ****9fbE is invalid', 'type': 'authentication_error', 'param': None, 'code': 'invalid_request_error'}}"
2020-2601-8-10007-1,2020-2601-8-10007,2020,2601,Dry Port - Hidd,EX,8,10007,43676,10/30/2020,1006301000,Long-grain milled rice,BH,BH,BH,BH,AE,AE,KGM,2700.77,1.07,EXW,1086.57,3.43,2889.82,2700.77,3002.95,Released,9,8,2601,346,,,CR_HASH_058,,CR_HASH_006,2020-10-30,2020-10,100630100000,10,100630,True,Re-export,1086.57,2889.82,3.43,2700.77,3002.95,AE,CR_HASH_006,Long-grain milled rice,,,,"You are a customs trade compliance expert.

A company is registered for the following business activities:
- Registered activities: nan
- Registered sector(s): nan

The company has submitted a trade declaration for the following goods:
- Goods description: Long-grain milled rice

Does the traded goods description logically match the company's registered business activities?

Respond in JSON only with exactly these three fields:
{
  ""mismatch"": true or false,
  ""risk_level"": ""normal"" or ""low"" or ""medium"" or ""high"",
  ""reason"": ""one sentence explanation""
}

Rules:
- If the goods clearly fit the registered activities: mismatch false, risk_level normal
- If the goods are loosely related to the registered activities: mismatch false, risk_level normal
- If the goods are debatable to the registered activities: mismatch true, risk_level low
- If the goods are clearly unrelated to the registered activities: mismatch true, risk_level medium
- If the goods are completely unrelated AND suspicious (e.g. weapons, chemicals, controlled goods): mismatch true, risk_level high
- Do not output anything outside the JSON block.",True,medium,"The company's registered activities and sectors are not specified, making it unclear if rice trading is related.",,error,"Error code: 401 - {'error': {'message': 'Authentication Fails, Your api key: ****9fbE is invalid', 'type': 'authentication_error', 'param': None, 'code': 'invalid_request_error'}}"
2020-2701-3-10008-1,2020-2701-3-10008,2020,2701,Khalifa Bin Salman Port,EX,3,10008,27306,6/15/2020,102211000,"Live cattle, pure-bred breeding",BH,BH,BH,BH,CN,CN,NMB,48.0,2068.22,EXW,37327.23,1.9,99274.56,47.96,54.63,Pending,2,9,2701,927,,,CR_HASH_090,,CR_HASH_008,2020-06-15,2020-06,102211000000,10,102211,True,Re-export,37327.23,99274.56,1.9,47.96,54.63,CN,CR_HASH_008,"Live cattle, pure-bred breeding",,,,"You are a customs trade compliance expert.

A company is registered for the following business activities:
- Registered activities: nan
- Registered sector(s): nan

The company has submitted a trade declaration for the following goods:
- Goods description: Live cattle, pure-bred breeding

Does the traded goods description logically match the company's registered business activities?

Respond in JSON only with exactly these three fields:
{
  ""mismatch"": true or false,
  ""risk_level"": ""normal"" or ""low"" or ""medium"" or ""high"",
  ""reason"": ""one sentence explanation""
}

Rules:
- If the goods clearly fit the registered activities: mismatch false, risk_level normal
- If the goods are loosely related to the registered activities: mismatch false, risk_level normal
- If the goods are debatable to the registered activities: mismatch true, risk_level low
- If the goods are clearly unrelated to the registered activities: mismatch true, risk_level medium
- If the goods are completely unrelated AND suspicious (e.g. weapons, chemicals, controlled goods): mismatch true, risk_level high
- Do not output anything outside the JSON block.",True,medium,"The company's registered activities and sector are not specified, making it unclear if live cattle trading is related.",,error,"Error code: 401 - {'error': {'message': 'Authentication Fails, Your api key: ****9fbE is invalid', 'type': 'authentication_error', 'param': None, 'code': 'invalid_request_error'}}"
2020-2501-2-10009-1,2020-2501-2-10009,2020,2501,Bahrain International Airport,IM,2,10009,71263,8/7/2020,102211000,"Live cattle, pure-bred breeding",CN,CN,CN,CN,BH,BH,NMB,115.0,996.33,EXW,43081.31,1.93,114577.95,103.54,117.9,Released,9,5,2501,761,,,CR_HASH_039,CR_HASH_026,,2020-08-07,2020-08,102211000000,10,102211,False,Import,43081.31,114577.95,1.93,103.54,117.9,CN,CR_HASH_026,"Live cattle, pure-bred breeding",,,,"You are a customs trade compliance expert.

A company is registered for the following business activities:
- Registered activities: nan
- Registered sector(s): nan

The company has submitted a trade declaration for the following goods:
- Goods description: Live cattle, pure-bred breeding

Does the traded goods description logically match the company's registered business activities?

Respond in JSON only with exactly these three fields:
{
  ""mismatch"": true or false,
  ""risk_level"": ""normal"" or ""low"" or ""medium"" or ""high"",
  ""reason"": ""one sentence explanation""
}

Rules:
- If the goods clearly fit the registered activities: mismatch false, risk_level normal
- If the goods are loosely related to the registered activities: mismatch false, risk_level normal
- If the goods are debatable to the registered activities: mismatch true, risk_level low
- If the goods are clearly unrelated to the registered activities: mismatch true, risk_level medium
- If the goods are completely unrelated AND suspicious (e.g. weapons, chemicals, controlled goods): mismatch true, risk_level high
- Do not output anything outside the JSON block.",True,medium,"The company's registered activities and sector are not specified, making it unclear if live cattle trading is related.",,error,"Error code: 401 - {'error': {'message': 'Authentication Fails, Your api key: ****9fbE is invalid', 'type': 'authentication_error', 'param': None, 'code': 'invalid_request_error'}}"
